certificate_id,issuer_ca_id,serial_number,not_before,not_after,subject_dn_json,san_identities,validation_type,receiver_common_name,receiver_surname,receiver_serial_number,receiver_country_name,receiver_locality_name,receiver_state_or_province_name,receiver_street_address,receiver_organization_name,receiver_organizational_unit_name,receiver_title,receiver_description,receiver_business_category,receiver_postal_code,receiver_post_office_box,receiver_telephone_number,receiver_name,receiver_given_name,receiver_dn_qualifier,receiver_organization_identifier,receiver_email_address,receiver_unstructured_name,receiver_jurisdiction_locality_name,receiver_jurisdiction_state_or_province_name,receiver_jurisdiction_country_name,parsed_domainname,clean_domain,blacklist_flag,san_identities_list,no_domains,validity_days,domain_length,deeply_nested_subdomains,num_subdomains,hyphen_count,shannon_entropy,suspicious_keyword,suspicious_tld,has_inner_tld,issued_hour_utc,is_weekend,inner_tld_in_subdomain,has_unusual_token,certificate_type_Single,certificate_type_Wildcard,ca_name_Asseco Data Systems S.A. (previously Unizeto Certum),ca_name_Buypass,ca_name_DigiCert,ca_name_GlobalSign nv-sa,ca_name_GoDaddy,ca_name_Google Trust Services LLC,"ca_name_IdenTrust Services, LLC",ca_name_Internet Security Research Group,ca_name_Microsoft Corporation,"ca_name_SECOM Trust Systems CO., LTD.",ca_name_SSL.com,ca_name_Sectigo,ca_name_Taiwan-CA Inc. (TWCA),max_jaro_winkler_similarity
17147892612,105484,00b96a512b0f5c1337d9c867808dea0be9,2025-03-16 00:00:00,2025-06-14 00:57:59,"{""2-5-4-3"": ""caleres.com""}","[""caleres.com"",""*.caleres.com""]",DV,caleres.com,,,,,,,,,,,,,,,,,,,,,,,,caleres.com,caleres.com,0,"['caleres.com', '*.caleres.com']",2,90,11,0,0,0,3.095795255000934,0,0,0,0,True,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.9186147186147186
17215421023,286236,20f4e353c6164a7011fc31f72082728b,2025-03-12 15:39:19,2025-06-10 16:36:55,"{""2-5-4-3"": ""cerradogold.com""}","[""cerradogold.com"",""*.cerradogold.com""]",DV,cerradogold.com,,,,,,,,,,,,,,,,,,,,,,,,*.cerradogold.com,cerradogold.com,0,"['cerradogold.com', '*.cerradogold.com']",2,90,17,0,0,0,3.189898095464288,0,0,0,15,False,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8475036075036075
17215421023,286236,20f4e353c6164a7011fc31f72082728b,2025-03-12 15:39:19,2025-06-10 16:36:55,"{""2-5-4-3"": ""cerradogold.com""}","[""cerradogold.com"",""*.cerradogold.com""]",DV,cerradogold.com,,,,,,,,,,,,,,,,,,,,,,,,cerradogold.com,cerradogold.com,0,"['cerradogold.com', '*.cerradogold.com']",2,90,15,0,0,0,3.189898095464288,0,0,0,15,False,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8475036075036075
17064004335,207672,0f9233117cba85bddd93ec43cd4d7c92,2025-03-12 00:00:00,2026-03-11 23:59:59,"{""2-5-4-3"": ""bfaapvbcx24vcsev.video.td.com"", ""2-5-4-6"": ""CA"", ""2-5-4-7"": ""Toronto"", ""2-5-4-8"": ""Ontario"", ""2-5-4-10"": ""The Toronto-Dominion Bank""}","[""bfaapvbcx24vcsev.video.td.com"",""VCSE-clusterX2.video.td.com"",""tdinsurance.com"",""bkng.net"",""tdsecurities.com"",""td.com"",""mra.td.com"",""tdassurance.com"",""tdam.com"",""tdbfg.com""]",OV,bfaapvbcx24vcsev.video.td.com,,,CA,Toronto,Ontario,,The Toronto-Dominion Bank,,,,,,,,,,,,,,,,,td.com,td.com,0,"['bfaapvbcx24vcsev.video.td.com', 'VCSE-clusterX2.video.td.com', 'tdinsurance.com', 'bkng.net', 'tdsecurities.com', 'td.com', 'mra.td.com', 'tdassurance.com', 'tdam.com', 'tdbfg.com']",10,364,6,0,0,0,2.584962500721156,0,0,0,0,False,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
17062849759,286236,684067deec012f4c137be398a37b7588,2025-03-12 10:10:41,2025-06-10 11:10:39,"{""2-5-4-3"": ""championsoncology.com""}","[""championsoncology.com"",""*.championsoncology.com""]",DV,championsoncology.com,,,,,,,,,,,,,,,,,,,,,,,,*.championsoncology.com,championsoncology.com,0,"['championsoncology.com', '*.championsoncology.com']",2,90,23,0,0,0,3.4225779953216033,0,0,0,10,False,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9448275862068966
17207070717,375280,011835d76fb2d5427dca09bdbe751bfa,2025-03-15 17:07:56,2025-03-16 17:07:56,"{""2-5-4-3"": ""imperva.com""}","[""johnsoncontrols.com"",""imperva.com""]",DV,imperva.com,,,,,,,,,,,,,,,,,,,,,,,,johnsoncontrols.com,johnsoncontrols.com,0,"['johnsoncontrols.com', 'imperva.com']",2,1,19,0,0,0,3.176110251517255,0,0,0,17,True,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9244851258581236
17023510490,295810,04c076a858e0b24b7e51eacfca8ce085d467,2025-03-07 21:12:40,2025-06-05 21:12:39,"{""2-5-4-3"": ""serinatherapeutics.com""}","[""*.serinatherapeutics.com"",""serinatherapeutics.com""]",DV,serinatherapeutics.com,,,,,,,,,,,,,,,,,,,,,,,,*.serinatherapeutics.com,serinatherapeutics.com,0,"['*.serinatherapeutics.com', 'serinatherapeutics.com']",2,89,24,0,0,0,3.6978458230844127,0,0,0,21,False,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9077272727272728
17024042026,295819,0483ac6e5abed8cce9e53753296852bd84f9,2025-03-03 11:33:35,2025-06-01 11:33:34,"{""2-5-4-3"": ""connectonebank.com""}","[""*.connectonebank.com"",""connectonebank.com""]",DV,connectonebank.com,,,,,,,,,,,,,,,,,,,,,,,,connectonebank.com,connectonebank.com,0,"['*.connectonebank.com', 'connectonebank.com']",2,89,18,0,0,0,3.0860486123130384,1,0,0,11,False,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9301587301587302
17176429241,279003,47e900000007ce766642d0c735dcadcc,2025-03-17 09:10:19,2026-04-15 15:59:59,"{""2-5-4-3"": ""www.taishinholdings.com.tw"", ""2-5-4-6"": ""TW"", ""2-5-4-7"": ""Taipei"", ""2-5-4-8"": ""Taiwan"", ""2-5-4-10"": ""Taishin International Bank CO., LTD.""}","[""www.taishinholdings.com.tw""]",OV,www.taishinholdings.com.tw,,,TW,Taipei,Taiwan,,"Taishin International Bank CO., LTD.",,,,,,,,,,,,,,,,,www.taishinholdings.com.tw,taishinholdings.com.tw,0,['www.taishinholdings.com.tw'],1,394,26,0,1,0,3.6978458230844127,1,0,0,9,False,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
16948165815,365073,499a175352a60a3d40768b444e7072fa,2025-03-06 08:03:39,2026-04-06 04:00:00,"{""2-5-4-3"": ""www.santam.co.za"", ""2-5-4-5"": ""M1918001680"", ""2-5-4-6"": ""ZA"", ""2-5-4-7"": ""Bellville"", ""2-5-4-8"": ""Western Cape"", ""2-5-4-10"": ""Santam Ltd"", ""2-5-4-15"": ""Private Organization"", ""1-3-6-1-4-1-311-60-2-1-3"": ""ZA""}","[""www.santam.co.za"",""santam.co.za"",""amua.co.za"",""www.amua.co.za"",""associatedmarine.co.za"",""www.associatedmarine.co.za"",""associatemarine.co.za"",""www.associatemarine.co.za"",""www.c-sure.co.za"",""www.corporate-sure.co.za"",""corporate-sure.co.za"",""www.corporatesure.co.za"",""corporatesure.co.za"",""www.handl.co.za"",""handl.co.za"",""www.marine.santam.co.za"",""marine.santam.co.za"",""santam.com.na"",""www.santam.na"",""santam.na"",""www.sha.co.za"",""sha.co.za"",""www.santamre.com"",""mostlovedlocal.co.za"",""acc.mostlovedlocal.co.za"",""www.mostlovedlocal.co.za"",""travel.santam.co.za"",""www.santam.com"",""santam.com"",""veracode.santam.co.za"",""www.santam.com.na""]",EV,www.santam.co.za,,M1918001680,ZA,Bellville,Western Cape,,Santam Ltd,,,,Private Organization,,,,,,,,,,,,ZA,santam.co.za,santam.co.za,0,"['www.santam.co.za', 'santam.co.za', 'amua.co.za', 'www.amua.co.za', 'associatedmarine.co.za', 'www.associatedmarine.co.za', 'associatemarine.co.za', 'www.associatemarine.co.za', 'www.c-sure.co.za', 'www.corporate-sure.co.za', 'corporate-sure.co.za', 'www.corporatesure.co.za', 'corporatesure.co.za', 'www.handl.co.za', 'handl.co.za', 'www.marine.santam.co.za', 'marine.santam.co.za', 'santam.com.na', 'www.santam.na', 'santam.na', 'www.sha.co.za', 'sha.co.za', 'www.santamre.com', 'mostlovedlocal.co.za', 'acc.mostlovedlocal.co.za', 'www.mostlovedlocal.co.za', 'travel.santam.co.za', 'www.santam.com', 'santam.com', 'veracode.santam.co.za', 'www.santam.com.na']",31,395,12,0,1,0,3.0220552088742005,0,0,0,8,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
